username,date,text
lidangzzz,2024-12-02 05:08:18+00:00,"RT @fiapp_pro: 持仓圣经任选其一：
1. 用一个子账户买入之后忘记
2. 假装自己高位被套牢，现在还没回本
3. 自己 iq50 什么都不懂，只知道拉爆了才可以跑
4. iq200 可以无限制灵活做波段，无视持仓圣经"
lidangzzz,2024-12-02 03:56:11+00:00,"这几天王岑（红杉中国前合伙人，专投消费）专门长谈采访杜国楹（背背佳、好记星、E人E本、8848钛金手机、小罐茶创始人）。

王岑：你觉得你成功最大的秘诀是啥？

杜国楹：我觉得我们率先做到了茶叶的标准化。

由此可见，一些成功人士永远不会在媒体面前说实话，比如杜国楹，他这辈子成功的唯一秘诀，… https://t.co/3pB0xy5S1N"
lidangzzz,2024-12-01 22:32:38+00:00,"抖音网红圈最大的串子，

NYU在读+混哈佛校友会+开演唱会+常年受邀到联合国开会演讲

然后给199的杂牌眼影盘带货 https://t.co/TRoDqpcgvD"
lidangzzz,2024-12-01 19:36:18+00:00,"@kuangjian2011 再有不同，也不会有东北人在90年代在家拿一大锅油炸锅包肉，

这东西根本就不是家里做的，一屋子油烟不说，而且浪费油，正常人根本不可能在家做"
lidangzzz,2024-12-01 18:14:16+00:00,@garfunklett 中式千禧年风格怪核视频
lidangzzz,2024-12-01 12:37:53+00:00,@seclink 左上角有抖音id
lidangzzz,2024-12-01 08:17:27+00:00,@raffykkk 因为我就是正宗哈尔滨人
lidangzzz,2024-12-01 08:04:53+00:00,"时隔多年，我还是要反复鞭尸《漫长的季节》，

因为这部电视剧拍得过于精致、油腻、斯文、城市、小资，而与90年代的东北完全不同。

打个比方，哪个东北人在家招待客人时，会他妈烧一大锅油，给客人炒锅包肉？

正确待客的方式是，外面买一大袋子熏酱、烧鸡、肉卷，回家切好，然后在家熬鱼或者炖肉。 https://t.co/Vm3hHBfGgH"
lidangzzz,2024-12-01 07:33:37+00:00,@fiapp_pro 能活，既然是开源，就狠狠搞国产化，极狐就是这个产物
lidangzzz,2024-12-01 07:19:30+00:00,"我的天，原来被举报的极狐是gitlab，

我还以为是百度萝卜快跑外包出去的那个电车新势力ArcFox（极狐汽车）。 https://t.co/sZuNJj2Adz"
lidangzzz,2024-12-01 06:12:19+00:00,@stupid_pre 😢
lidangzzz,2024-12-01 06:04:19+00:00,https://t.co/0KsgotOOBl
lidangzzz,2024-12-01 04:05:57+00:00,解答世间万物（不要用蓝牙耳机） https://t.co/AnUDNqo8IT
lidangzzz,2024-12-01 00:18:09+00:00,今日份路遥 https://t.co/CTr3KWsS8B
lidangzzz,2024-11-30 15:28:36+00:00,@dihao10000 哈哈哈哈哈哈哈哈哈
lidangzzz,2024-11-30 13:39:18+00:00,来：https://t.co/wZuwi3DdLd
lidangzzz,2024-11-30 13:36:29+00:00,解答世间万物（不要用蓝牙耳机） https://t.co/wZuwi3DdLd
lidangzzz,2024-11-30 05:01:31+00:00,"我觉得挺好的，

金融就应该祛魅，最核心矛盾就应该抽象出来，用大白话讲给大家，给大家分析。

那些满嘴自造概念的人，反而掩盖的是内心的虚，试图用复杂的概念叠加去掩盖最简单直白的真相。

付鹏最大的贡献，就是告诉大家，金融就是一套调节工具，是不能创造价值的，价值观、增长才是第一性原理。 https://t.co/F5L3aKc3nr"
lidangzzz,2024-11-30 02:16:52+00:00,"来：

https://t.co/0zrXDToSWT"
lidangzzz,2024-11-30 01:45:27+00:00,解答世间万物（不要用蓝牙耳机） https://t.co/0zrXDToSWT
lidangzzz,2024-11-30 01:44:52+00:00,"币圈赚1个亿，然后花10万雇大学生；

制造业赚1个亿，里面有3000万采购上下游成本，2000万纳税，2000万给工人发工资，500万交五险一金，1000万交地租、保养设备、销售、采购、运营。

所以必须打击币圈，必须支持制造业。 https://t.co/neiOxiunT6"
lidangzzz,2024-11-29 19:04:24+00:00,@middlefeng 有他妈什么不能的？
lidangzzz,2024-11-29 18:58:33+00:00,"@middlefeng MLP被喂图片，能自己写代码，自己设置cuda，自己训练处MLP吗？

要不要你看看你自己在说些什么东西？"
lidangzzz,2024-11-29 18:55:36+00:00,"来：

https://t.co/DoqPrIpWqV"
lidangzzz,2024-11-29 18:39:05+00:00,解答世间万物（不要用蓝牙耳机） https://t.co/DoqPrIpWqV
lidangzzz,2024-11-29 18:37:53+00:00,"RT @feltanimalworld: 立党推荐CS194-196, 重要课程，去把讲义看了。

党哥对于社区的贡献在于，其实很多推主都是，自己学习思考，然后提炼出来的内容省你几十个小时。@lidangzzz https://t.co/VC9qCOvdB6"
lidangzzz,2024-11-29 12:28:28+00:00,"长沙冬天装你妈的暖气呢😅😅😅

推特上的傻逼还是太多了😅😅😅 https://t.co/hEXroNsNl6"
lidangzzz,2024-11-29 12:03:33+00:00,@HroyhongHong 不看👍
lidangzzz,2024-11-29 11:20:09+00:00,"@ChrisRo82187651 别你妈逗了，

澳洲这些CS major毕业生，给他们发5万刀都嫌贵，在国内就是直接饿死的水平。

你们这帮澳洲移民中介，也不天天照照镜子，看看澳洲本土哪些傻逼公司，会花10万刀雇澳洲毕业的这些低能毕业生。"
lidangzzz,2024-11-29 11:00:47+00:00,"@zhengzh315 澳洲八大缺顶级生源，

顶级生源考虑澳洲的非常少，80%是美国，10%考虑香港，10%考虑澳洲和英国，

现在澳洲八大要考虑的是跟北美抢顶级人才，抢高考650~680分这个智商水平的人才。"
lidangzzz,2024-11-29 09:54:20+00:00,"不知道为什么一堆人骂比亚迪“采购大砍价10%”，

中国PPI已经连续24个月下跌了，按照PPI来看，砍掉10%非常正常，

每家公司找自己上游供应商砍价10%，完完全全是正确、合理、应该的事情。

比亚迪就是汽车界的小米，狠狠地让供应商放血，这才是比亚迪该做的事情，我双手支持比亚迪。 https://t.co/Le2yQy59in"
